,일련번호,의료기관명,병상수,소 재 지,개설주체_민간 또는공공,개설일자,전화번호,구,행정동명
24,41,윤병원,44,경상남도 창원시 의창구 서상로12번길 57 (서상동),민간,1993-03-17,055-255-7100,의창구,
25,42,홍익재활병원,30,경상남도 창원시 성산구 신촌로134번길 43 (신촌동),민간,1990-02-09,055-286-1518,성산구,
26,43,키즈웰소아청소년과병원,56,"경상남도 창원시 마산회원구 용마로 130, 메트로센텀 5,11층 (양덕동)",민간,2019-11-28,055-715-2500,마산회원구,
27,44,양덕서울아동병원,60,경상남도 창원시 마산회원구 양덕로 190 (석전동),민간,2016-10-10,055-299-8275,마산회원구,석전동
28,45,서울병원,72,경상남도 창원시 마산회원구 3·15대로 653 (석전동),민간,2016-08-19,055-299-7000,마산회원구,석전동
29,46,신마산서울아동병원,36,"경상남도 창원시 마산합포구 문화동15길 25 (창포동3가, 롯데빌리지)",민간,2012-04-02,055-223-7847,마산합포구,문화동
30,47,베스트수병원,85,"경상남도 창원시 마산회원구 양덕로 190 (석전동, 바른몸빌딩)",민간,2011-10-11,055-290-2900,마산회원구,석전동
31,48,은혜병원,261,"경상남도 창원시 마산합포구 해안대로 331 (남성동, 한백웨딩프라자)",민간,2011-04-21,055-222-9161,마산합포구,
32,49,365병원,212,경상남도 창원시 마산회원구 3·15대로 686 (석전동),민간,2010-01-18,055-248-0365,마산회원구,석전동
33,50,의료법인우암의료재단 진동태봉병원,60,"경상남도 창원시 마산합포구 동전고개로 2, 진동태봉병원",민간,2009-10-14,055-271-9500,마산합포구,
34,51,참여성병원,52,"경상남도 창원시 마산합포구 불종거리로 19 (동성동, 참여성병원)",민간,2008-03-28,055-249-0600,마산합포구,
35,52,삼일정풍병원,200,"경상남도 창원시 마산합포구 3·15대로 162 (중앙동2가, 삼일정풍병원)",민간,2008-03-03,055-246-3131,마산합포구,중앙동
36,53,무룹병원,80,"경상남도 창원시 마산합포구 3·15대로 243 (중앙동3가, 무룹병원)",민간,2007-05-09,055-246-7300,마산합포구,중앙동
37,54,서울아동병원,50,경상남도 창원시 마산회원구 내서읍 삼계로 2 (삼계웰빙프라자빌딩),민간,2007-03-12,055-231-8175,마산회원구,내서읍
38,55,하나병원,99,경상남도 창원시 마산합포구 합포로 110 (오동동),민간,2000-05-06,055-240-3000,마산합포구,오동동
39,56,동마산병원,188,"경상남도 창원시 마산회원구 3·15대로 681 (석전동, 동마산병원)",민간,1983-02-25,055-290-5114,마산회원구,석전동
40,57,용원중앙병원,50,경상남도 창원시 진해구 만금로 17 (용원동),민간,2016-10-13,055-716-1114,진해구,
41,58,희망병원,150,"경상남도 창원시 진해구 용원로 15 (용원동, 희망병원)",민간,2016-03-04,055-552-7582,진해구,
42,59,우리병원,64,"경상남도 창원시 진해구 용원로 13, 2,3,5층 (용원동)",민간,2012-11-02,055-551-0002,진해구,
43,60,의료법인심연의료재단세명병원,150,경상남도 창원시 진해구 용원서로 42 (용원동),민간,2010-09-30,055-540-7500,진해구,
44,61,의료법인염광의료재단세광병원,160,경상남도 창원시 진해구 중원동로 55-1 (중앙동),민간,2008-04-07,055-540-3700,진해구,중앙동
45,62,예인여성병원,31,경상남도 창원시 진해구 진해대로 958 (자은동),민간,2008-01-14,055-542-9000,진해구,자은동
46,63,서울아동병원,43,"경상남도 창원시 진해구 진해대로776번길 27, 7,8층 (이동, 온메디컬센터)",민간,2007-04-05,055-541-0770,진해구,이동
47,64,해군해양의료원,120,경상남도 창원시 진해구 진해대로963번길 35 (자은동),국립,1994-05-17,055-907-5736,진해구,자은동
48,65,진해성모병원,68,"경상남도 창원시 진해구 행암로 12, 엠에스빌딩",민간,2020-11-20,055-542-9802,진해구,
49,155,램브란트치과병원,0,"경상남도 창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩5층)",민간,2007-07-06,055-262-2875,성산구,상남동
50,156,화인치과병원,0,"경상남도 창원시 성산구 중앙대로 99 (중앙동, 신한은행빌딩3,4,5층)",민간,2000-05-12,055-285-0100,성산구,중앙동
51,157,고운치과병원,0,"경상남도 창원시 의창구 원이대로 573 (용호동, 고운메디컬빌딩)",민간,2000-05-08,055-285-0987,의창구,
52,158,라온치과병원,0,"경상남도 창원시 마산회원구 양덕로 194 (석전동, 영광약국)",민간,2010-05-17,055-256-0007,마산회원구,석전동
53,159,온치과병원,0,경상남도 창원시 진해구 진해대로776번길 27 (이동),민간,2010-11-30,055-551-2828,진해구,이동
54,160,진해라온치과병원,0,경상남도 창원시 진해구 진해대로 765 (석동),민간,2012-01-27,055-547-1300,진해구,석동
55,161,칭원진해연세스위트치과병원,0,"경상남도 창원시 진해구 진해대로 752, 아리온시네마빌",민간,2021-05-04,055-541-0600,진해구,
56,176,라라한방병원,44,"경상남도 창원시 성산구 마디미서로 26, 한독빌딩 8층,9층,10층 1003호 (상남동)",민간,2020-04-27,055-286-3377,성산구,상남동
57,177,예이재한방병원,41,"경상남도 창원시 의창구 용동로 45, 현대썬앤빌 더 스퀘어 A동 5-6층 (사림동)",민간,2020-04-17,055-800-8875,의창구,
58,178,서울한방병원,70,"경상남도 창원시 의창구 평산로 102, 녹주빌딩 2,3층 (팔용동)",민간,2019-09-12,055-285-4848,의창구,
59,179,당당한방병원,60,"경상남도 창원시 성산구 원이대로 674, 당당한방병원 지하1층, 3-8층 (상남동)",민간,2017-12-21,055-298-1075,성산구,상남동
60,180,재단법인 자생의료재단 창원자생한방병원,66,"경상남도 창원시 성산구 원이대로682번길 8, SH빌딩 (상남동)",민간,2012-06-12,055-712-7049,성산구,상남동
61,181,365마산한방병원,65,"경상남도 창원시 마산회원구 3·15대로 686, 365병원 본관동 5,7,8,10층 501,701,801,1003호 (석전동)",민간,2021-02-01,055-000-0000,마산회원구,석전동
62,193,예정요양병원,220,"경상남도 창원시 의창구 팔용로 319, 반계동 요양병원 A동 지하1~지상4층 (반계동)",민간,2019-12-27,055-253-6000,의창구,
63,194,동창원요양병원,265,"경상남도 창원시 의창구 동읍 의창대로 870-5, 동창원요양병원 1,2,3,4층 지하1층(103호)호",민간,2017-08-25,055-291-2002,의창구,동읍
64,195,서라벌요양병원,198,"경상남도 창원시 의창구 남산로17번길 28, 2층, 3층 (팔용동, 팔용에이스빌딩 2,3층)",민간,2015-08-26,055-294-1400,의창구,
65,196,시티요양병원,277,경상남도 창원시 의창구 대봉로26번길 12-3 (봉림동),민간,2015-06-03,055-270-5500,의창구,봉림동
66,197,북면이화요양병원,245,경상남도 창원시 의창구 북면 천주로 1092,민간,2015-06-01,055-293-3311,의창구,북면
67,198,의료법인 자은의료재단 덕산요양병원,151,경상남도 창원시 의창구 동읍 의창대로 882,민간,2014-08-26,055-251-2221,의창구,동읍
68,199,창산요양병원,199,경상남도 창원시 의창구 의안로2번길 31 (소답동),민간,2014-06-11,055-298-7582,의창구,
69,200,의료법인 청민의료재단 참사랑요양병원,143,경상남도 창원시 의창구 남산로1번길 60 (팔용동),민간,2008-11-06,055-294-7575,의창구,
70,201,행복한요양병원,415,경상남도 창원시 의창구 북면 천주로 785-1,민간,2008-06-23,055-259-1112,의창구,북면
71,202,푸른요양병원,679,경상남도 창원시 의창구 창원천로94번길 82-18 (대원동),민간,2008-03-31,055-270-8888,의창구,
72,203,성미카엘요양병원,170,경상남도 창원시 의창구 사림로45번길 4-11 (사림동),민간,2006-10-13,055-264-6007,의창구,
73,204,시립창원요양병원,182,경상남도 창원시 의창구 북면 단내로 499-32,공공,2002-12-13,055-298-2442,의창구,북면
74,205,희연요양병원,417,"경상남도 창원시 성산구 원이대로393번길 25, 케이프타운 2-4층 일부, 지하1-2층 일부호 (반지동)",민간,2001-12-20,055-270-2580,성산구,
75,206,자비요양병원,72,"경상남도 창원시 의창구 우곡로217번길 6 (명서동, 2,3,4층)",민간,2006-08-09,055-288-6300,의창구,
76,207,복음요양병원,134,"경상남도 창원시 마산회원구 3·15대로 850, 복음요양병원 (합성동)",민간,2020-05-19,055-291-7000,마산회원구,
77,208,한마음요양병원,272,"경상남도 창원시 마산합포구 오동동10길 73, 2-3층 (오동동, 서광아침의빛)",민간,2020-02-21,055-246-3300,마산합포구,오동동
78,209,의료법인혜주의료재단 더편한요양병원,199,경상남도 창원시 마산합포구 진동면 삼진의거대로 826,민간,2018-11-22,055-606-7722,마산합포구,진동면
79,210,친절요양병원,192,"경상남도 창원시 마산합포구 현동로 38, 4-10층 (우산동)",민간,2018-11-13,055-222-7900,마산합포구,현동
80,211,의료법인벽암의료재단 큰바다요양병원,170,경상남도 창원시 마산합포구 수산1길 262-2 (오동동),민간,2018-10-17,055-221-3388,마산합포구,오동동
81,212,의료법인합포의료재단마산우리요양병원,228,"경상남도 창원시 마산합포구 해안대로 35 (해운동, MH우리병원)",민간,2016-04-21,055-220-7500,마산합포구,
82,213,의료법인예경의료재단예경요양병원,170,"경상남도 창원시 마산합포구 중앙서1길 25 (대성동2가, 예경노인병원)",민간,2013-12-02,055-249-5500,마산합포구,
83,214,의료법인청록의료재단신세계요양병원,614,경상남도 창원시 마산회원구 내서읍 죽암로 89 (신세계요양병원),민간,2013-06-14,055-232-5600,마산회원구,내서읍
84,215,의료법인성인의료재단이에이씨창원요양병원,544,경상남도 창원시 마산합포구 가포로 652 (덕동동),민간,2013-06-10,055-230-7777,마산합포구,
85,216,광제요양병원,180,"경상남도 창원시 마산합포구 남성로 167 (동성동, 한마빌딩)",민간,2013-04-30,055-240-8200,마산합포구,
86,217,큰사랑요양병원,366,경상남도 창원시 마산회원구 북성로 469 (두척동),민간,2010-11-11,055-600-8000,마산회원구,
87,218,시립마산요양병원,291,경상남도 창원시 마산합포구 현동로 15 (우산동),공공,2008-10-30,055-221-2700,마산합포구,현동
88,219,의료법인굿모닝의료재단굿모닝요양병원,198,"경상남도 창원시 마산회원구 봉양로 7 (양덕동, 동방프라자)",민간,2008-01-02,055-259-1000,마산회원구,
89,220,경희요양병원,185,"경상남도 창원시 마산합포구 3·15대로 243, 7~11층 (중앙동3가)",민간,2007-10-29,055-245-9988,마산합포구,중앙동
90,221,의료법인승도의료재단메트로요양병원,199,경상남도 창원시 마산회원구 3·15대로 597 (석전동),민간,2007-09-14,055-299-3900,마산회원구,석전동
91,222,의료법인석영의료재단효도투석요양병원,104,"경상남도 창원시 마산회원구 3·15대로 878 (구암동, 효도병원)",민간,2005-02-01,055-292-7575,마산회원구,
92,223,의료법인정다운사람들의료재단정다운요양병원,290,"경상남도 창원시 마산회원구 봉양로 160 (봉암동, 정다운요양병원)",민간,2005-01-05,055-255-7777,마산회원구,봉암동
93,224,마산요양병원,129,"경상남도 창원시 마산회원구 무학로 619 (회원동, 마산노인병원)",민간,2000-05-15,055-242-7582,마산회원구,
94,225,의료법인영민의료재단소망노인전문병원,192,경상남도 창원시 마산합포구 무학로 402 (자산동),민간,2012-05-11,055-247-7277,마산합포구,자산동
95,226,메트로요양병원,199,"경상남도 창원시 진해구 용원로 37 (용원동, 블루마운틴)",민간,2019-02-28,055-552-0013,진해구,
96,227,진해수요양병원,158,"경상남도 창원시 진해구 충장로 172 (충무동, 진해수요양병원)",민간,2016-04-04,055-815-7575,진해구,충무동
97,228,참좋은요양병원,149,경상남도 창원시 진해구 충장로 154 (충무동),민간,2012-02-28,055-541-4500,진해구,충무동
98,229,늘푸른요양병원,214,경상남도 창원시 진해구 충장로 181 (여좌동),민간,2011-03-14,055-543-7500,진해구,여좌동
99,230,용원휴요양병원,200,경상남도 창원시 진해구 남의로 150 (두동),민간,2011-01-03,055-547-3100,진해구,
100,322,국립마산병원,354,"경상남도 창원시 마산합포구 가포로 215 (가포동, 국립마산병원)",공공,1946-06-01,055-246-1141,마산합포구,가포동
101,323,미소안재활병원,94,"경상남도 창원시 마산회원구 3·15대로 775 (합성동, 합성메디칼센타)",민간,2008-12-05,055-299-7510,마산회원구,
102,324,의료법인위더스의료재단위더스병원,220,경상남도 창원시 마산합포구 동서동2길 45 (신포동2가),민간,2008-06-02,055-220-7777,마산합포구,
103,325,의료법인한길사랑의료재단현대사랑병원,299,경상남도 창원시 마산합포구 진북면 동삼길 314-25,민간,2011-07-06,055-240-8070,마산합포구,북면
104,326,의료법인예경의료재단예경병원,299,"경상남도 창원시 마산합포구 중앙서1길 25 (대성동2가, 예경노인병원)",민간,2002-08-21,055-249-5555,마산합포구,
105,327,의료법인청아의료재단동서병원,844,경상남도 창원시 마산회원구 내서읍 호원로 265 (동서병원),민간,1983-06-03,055-230-1800,마산회원구,내서읍
106,328,동양의료재단연세사랑병원,305,경상남도 창원시 진해구 행암로 76 (장천동),민간,2009-01-13,055-540-7700,진해구,
107,349,창원다나은마취통증의학과의원,0,"경상남도 창원시 성산구 마디미로4번길 1, 창원 Daily빌딩 5층 501-502호 (상남동)",민간,2021-06-29,055-262-2727,성산구,상남동
108,350,상쾌한내과이비인후과의원,0,"경상남도 창원시 의창구 중동중앙로 83, 디세븐파크 4층 408-411호 (중동)",민간,2021-06-17,055-543-6262,의창구,
109,351,엘리나의원,1,"경상남도 창원시 성산구 상남로 126, 세종M필드 7층 1호 (상남동)",민간,2021-05-28,055-713-8001,성산구,상남동
110,352,신세계이비인후과의원,3,"경상남도 창원시 의창구 중동중앙로 79, 에스제이빌딩 2층 201호 (중동)",민간,2021-05-25,055-716-8700,의창구,
111,353,창원수신경외과의원,0,"경상남도 창원시 의창구 팔용로 428, 드림피아 2층 206-209호 (팔용동)",민간,2021-05-24,055-251-7575,의창구,
112,354,창원이루다성형외과의원,0,"경상남도 창원시 의창구 용지로153번길 10, 동원빌딩 7층 702호 (용호동)",민간,2021-04-20,055-603-3008,의창구,
113,355,에스엘신경과의원,0,"경상남도 창원시 의창구 태복산로3번길 13, 에스엘빌딩 4층 (도계동)",민간,2021-03-19,055-277-7575,의창구,
114,356,머리편한신경과의원,2,"경상남도 창원시 성산구 용지로133번길 3, 한서빌딩 7층 701호 (중앙동)",민간,2020-10-21,055-266-9001,성산구,중앙동
115,357,킹남성의원,0,"경상남도 창원시 의창구 의창대로 72, 현대메디칼 10층 (팔용동)",민간,2020-08-07,055-251-1801,의창구,
116,358,창원리즈온의원,0,"경상남도 창원시 성산구 단정로 13, 에이스타워 4층 (상남동)",민간,2020-03-04,055-719-0123,성산구,상남동
117,359,더고운성형외과의원,0,"경상남도 창원시 성산구 용지로133번길 3, 한서빌딩 8층 (중앙동)",민간,2020-02-06,055-267-0789,성산구,중앙동
118,360,활기찬정형외과통증의학과의원,26,"경상남도 창원시 성산구 대암로 247, 더 스퀘어 A동 6층 (성주동)",민간,2020-01-07,055-715-9797,성산구,성주동
119,361,더모젤의원,0,"경상남도 창원시 성산구 용지로133번길 3, 한서빌딩 6층 (중앙동)",민간,2019-12-16,055-715-5858,성산구,중앙동
120,362,디엘의원,0,"경상남도 창원시 성산구 상남로 88, PWR빌딩 7층 701호 (상남동)",민간,2019-10-08,055-713-7890,성산구,상남동
121,363,정용근내과의원,0,"경상남도 창원시 성산구 용지로133번길 3, 한서빌딩 2층 202호 (중앙동)",민간,2019-09-10,055-713-7771,성산구,중앙동
122,364,한서여성의원,0,"경상남도 창원시 성산구 용지로133번길 3, 한서빌딩 4층 401호 (중앙동)",민간,2019-06-24,055-713-8080,성산구,중앙동
123,365,서울성모정형외과의원,0,"경상남도 창원시 성산구 용지로133번길 3, 5층 501호 (중앙동)",민간,2019-06-21,055-980-8899,성산구,중앙동
124,366,플러스이비인후과의원,2,"경상남도 창원시 의창구 원이대로 591, X프리빌딩 5층 (용호동)",민간,2019-05-22,055-802-8200,의창구,
125,367,좋은아침의원,0,"경상남도 창원시 성산구 원이대로863번길 26, IK빌딩 3층 (가음동)",민간,2019-04-17,055-262-0088,성산구,
126,368,이화퀸의원,0,"경상남도 창원시 성산구 원이대로682번길 30, 신명PLAZA 3층 301, 302호 (상남동)",민간,2018-12-07,055-286-8675,성산구,상남동
127,369,성산라파의원,0,"경상남도 창원시 성산구 가음로15번길 50, 경동스포렉스 205호206호 (남양동)",민간,2018-08-22,055-262-5005,성산구,
128,370,혜윰여성의원,2,"경상남도 창원시 성산구 상남로 107, 상남 큐비 메종드테라스 317호 (상남동)",민간,2018-07-05,070-8285-9275,성산구,상남동
129,371,삼성비뇨기과의원,0,"경상남도 창원시 성산구 반송로 150, 화성메디칼빌딩 201호 (반림동)",민간,2018-06-29,055-289-8088,성산구,
130,372,키플러스의원,0,"경상남도 창원시 성산구 중앙대로100번길 9, 리베라컨벤션 4층 403호 (상남동)",민간,2018-06-08,055-264-7234,성산구,상남동
131,373,덕산의원,0,"경상남도 창원시 의창구 동읍 의창대로915번길 2, 청담빌딩 2층",민간,2018-04-02,055-251-1626,의창구,동읍
132,374,상남더맑은내과의원,0,"경상남도 창원시 성산구 마디미로21번길 17, 상남동피아노빌딩 6층 601호 (상남동)",민간,2018-03-22,055-274-1088,성산구,상남동
133,375,가온내과의원,0,"경상남도 창원시 성산구 가음로 88, 3~6층 (가음동)",민간,2018-01-24,055-282-8511,성산구,
134,376,창원동산의원,0,"경상남도 창원시 성산구 창이대로706번길 4-18, 창원동산병원 1층 (사파동)",민간,2018-01-23,055-282-8383,성산구,사파동
135,377,대웅엠지(MG)의원,0,"경상남도 창원시 의창구 용지로169번길 11-14, 대웅 RED - U 3층 301~307호 (용호동)",민간,2017-12-15,055-285-3300,의창구,
136,378,창원퍼스트피부과의원,0,"경상남도 창원시 의창구 평산로207번길 4, 킹덤시티 5층 501호, 6층 601-602호 (서상동)",민간,2017-10-11,055-251-5511,의창구,
137,379,북면소아청소년과의원,0,경상남도 창원시 의창구 북면 동곡로 9,민간,2017-07-24,055-294-2119,의창구,북면
138,380,블리비의원,0,"경상남도 창원시 성산구 마디미서로 30, 3층 (상남동)",민간,2017-06-21,1522-1020,성산구,상남동
139,381,톡스앤필의원 창원점,0,"경상남도 창원시 성산구 중앙대로 104, 4층 405,406,407,408호 (상남동, 마이우스빌딩)",민간,2017-06-13,055-211-0400,성산구,상남동
140,382,시원이비인후과의원,0,"경상남도 창원시 의창구 북면 감계로 306, 2층 201호",민간,2017-06-12,055-296-7582,의창구,북면
141,383,셀럽성형외과의원,0,"경상남도 창원시 성산구 마디미동로 31, 호동빌딩 5-6층 (상남동)",민간,2017-04-21,055-284-8333,성산구,상남동
142,384,예담의원,0,"경상남도 창원시 의창구 북면 감계로110번길 54-39, 4층 403, 404호 (화진빌딩)",민간,2017-03-17,055-296-1033,의창구,북면
143,385,북면감계안과의원,0,"경상남도 창원시 의창구 북면 감계로110번길 54-39, 5층 504호",민간,2017-03-02,055-292-3888,의창구,북면
144,386,연세봄의원,0,"경상남도 창원시 성산구 대암로 247, A동 2층 202, 203호 (성주동, 더스퀘어)",민간,2017-02-27,055-266-3369,성산구,성주동
145,387,미즈맘산부인과의원,26,"경상남도 창원시 의창구 원이대로285번길 6, 4,5,6,7,10층 (봉곡동)",민간,2016-11-30,055-277-5588,의창구,
146,388,워킹재활의학과의원,0,"경상남도 창원시 성산구 원이대로 646, 5층 501,502,503호 (상남동, 에이스빌딩)",민간,2016-11-28,055-263-7553,성산구,상남동
147,389,미시안안과의원,0,"경상남도 창원시 성산구 중앙대로 64, 신텍타워 4층 (상남동)",민간,2016-11-03,055-284-4742,성산구,상남동
148,390,창원글로리안과의원,0,"경상남도 창원시 성산구 마디미서로 54, 3층 301호 (상남동, 서울아동병원)",민간,2016-09-08,055-285-2855,성산구,상남동
149,391,뮤즈의원,0,"경상남도 창원시 성산구 단정로 13, 5층 502호 (상남동, 에이스타워)",민간,2016-07-19,055-716-2265,성산구,상남동
150,392,이앤장피부과의원,0,"경상남도 창원시 성산구 상남로 118, 7층 702호 (상남동, CNN타워 702, 703호)",민간,2016-04-26,055-286-1006,성산구,상남동
151,393,감계삼성내과의원,0,"경상남도 창원시 의창구 북면 감계로 300, 3층 302, 303호",민간,2016-03-11,055-292-6800,의창구,북면
152,394,희연의원,20,"경상남도 창원시 성산구 원이대로393번길 25, 5층 5001호 (반지동, 케이프타운)",민간,2016-03-08,055-270-9699,성산구,
153,395,수내과의원,0,"경상남도 창원시 의창구 원이대로 595 (용호동, 고운메디컬빌딩3층301호)",민간,2016-01-08,055-261-5004,의창구,
154,396,무동의원,0,경상남도 창원시 의창구 북면 동곡로 17 (2층 203호),민간,2015-12-21,055-255-2434,의창구,북면
155,397,신촌의원,0,"경상남도 창원시 성산구 신촌로 108 (신촌동, 신촌메디컬빌딩2층)",민간,2015-12-04,055-252-9710,성산구,
156,398,윤은숙산부인과의원,0,"경상남도 창원시 성산구 원이대로883번길 15-24 (가음동, 가음시장대상가 4층6호)",민간,2015-10-26,055-287-1005,성산구,
157,399,파티마안과의원,0,"경상남도 창원시 의창구 원이대로 320, 더시티세븐 트레이드센터 301,302,401호 (대원동)",민간,2015-07-06,055-277-9100,의창구,
158,400,센텀산부인과의원,0,"경상남도 창원시 성산구 원이대로 578 (중앙동, 구트병원 빌딩 701호)",민간,2015-07-06,055-275-6336,성산구,중앙동
159,401,다니엘성형외과의원,0,"경상남도 창원시 성산구 상남로 126, 세종M필드 3층 301-302호 (상남동)",민간,2015-06-08,055-284-0911,성산구,상남동
160,402,서울윤소아청소년과의원,0,"경상남도 창원시 성산구 반송로 148-6, 미건빌딩 3층 302호 (반림동)",민간,2015-04-16,055-551-5192,성산구,
161,403,고운마취통증의학과의원,0,"경상남도 창원시 의창구 원이대로 595 (용호동, 고운메디컬빌딩 8층)",민간,2015-04-15,055-714-7580,의창구,
162,404,온누리내과의원,0,"경상남도 창원시 의창구 창이대로15번길 24 (팔용동, 서주빌딩)",민간,2015-01-02,055-265-3927,의창구,
163,405,아이조아소아청소년과의원,0,경상남도 창원시 의창구 도계로 68 (도계동),민간,2014-10-14,055-237-8575,의창구,
164,406,참사랑내과의원,0,"경상남도 창원시 성산구 원이대로473번길 22 (반림동, 반림상가 2층 1호)",민간,2014-09-30,055-261-1100,성산구,
165,407,참사랑소아청소년과의원,0,"경상남도 창원시 성산구 원이대로473번길 22 (반림동, 반림상가 3층 1호)",민간,2014-09-30,055-287-3006,성산구,
166,408,서울연합의원,0,"경상남도 창원시 성산구 대암로 40-14 (남양동, 동양람세스빌 302.303호)",민간,2014-07-29,055-264-2668,성산구,
167,409,신비성형외과의원,0,"경상남도 창원시 의창구 중동중앙로 47, 어반브릭스 4007,4008호 (중동)",민간,2014-06-25,055-262-8911,의창구,
168,410,벨다드의원,0,경상남도 창원시 성산구 마디미서로 3 (상남동),민간,2014-03-04,055-263-5551,성산구,상남동
169,411,윤병구내과의원,0,"경상남도 창원시 의창구 원이대로189번길 42 (명서동, 부영상가 202호)",민간,2014-02-05,055-273-7582,의창구,
170,412,행복한아이들의원,0,"경상남도 창원시 의창구 원이대로 320 (대원동, 더시티세븐 제티-402호)",민간,2014-01-28,055-259-1222,의창구,
171,413,연세 안정우의원,0,경상남도 창원시 의창구 대봉로 24 (봉림동),민간,2014-01-28,055-275-1133,의창구,봉림동
172,414,최명길의원,0,경상남도 창원시 의창구 서상로11번길 3 (동정동),민간,2014-01-28,055-297-4799,의창구,
173,415,하나이비인후과의원,0,"경상남도 창원시 성산구 동산로 124 (상남동, 성원주상가)",민간,2013-11-20,055-275-7582,성산구,상남동
174,416,하이맨비뇨기과의원,1,경상남도 창원시 성산구 원이대로 664 (상남동),민간,2013-10-28,055-275-1102,성산구,상남동
175,417,댄의원,0,"경상남도 창원시 성산구 원이대로682번길 14 (상남동, 삼광빌딩 5, 6층)",민간,2013-10-24,055-286-7579,성산구,상남동
176,418,스마일의원,0,"경상남도 창원시 성산구 가음로 100 (가음동,3층)",민간,2013-08-30,055-289-7507,성산구,
177,419,숨편한내과의원,0,경상남도 창원시 의창구 우곡로217번길 6 (명서동),민간,2013-04-24,055-238-7990,의창구,
178,420,위드내과의원,0,"경상남도 창원시 의창구 팔용로 438 (팔용동, 팔용종합상가 401,406호)",민간,2013-03-19,055-293-7400,의창구,
